Column1,Community Name,Community ID,Aliases,Local Government,Main Language,Land Council,Other Languages,Electorate,Population,Longitude,Latitude,Location
250,Kwombom - Family Outstation,777,Kwombon,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,,130.291,-13.955,130km E OF PORT KEATS
515,Kybrook Farm - Minor,608,Copperfield Creek,Victoria Daly,Kriol,Northern Land Council,Not recorded,Daly,52,131.822,-13.863,Kybrook Farm is located just south of Pine Creek at the entrance to Umbrawarra Gorge Nature Park.
454,Labrapuntja - Family Outstation,85,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,11,132.939,-23.912,"12KMS NORTH OF ROAD AT ELLERY CREEK, 128KMS VIA H'BURG ROAD"
14,Lajamanu - Major,609,Hooker Creek,Central Desert,Warlpiri,Central Land Council,Not recorded,Gwoja,703,130.638,-18.336,Lajamanu is located south west of Katherine on the northern edge of the Tanami Desert and the eastern side of Hooker Creek as part of the Hooker Creek Aboriginal Land Trust. Lajamanu also borders the southern boundary of Wave Hill Station.
3,Lake Katherine - Family Outstation,833,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,135.068,-14.274,75 km NE OF NGUKURR
705,Langarra - Family Outstation,519,Howard Island,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,40,135.362,-12.099,"Via Milingimbi, 200 kms from Nhulunbuy"
223,Laramba - Major,86,Napperby and Napperrby,Central Desert,Anmatyerr,Central Land Council,Tiwi (Traditional),Gwoja,281,132.756,-22.533,Laramba is located north west of Alice Springs on a Community Living Area within the Napperby pastoral property.
726,Larapinta Valley - Town Camp,87,"Alice Springs Town Camp, Yarintja Assoc, Yarrenty Altere and Yarrenyty-Arltere",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,198,133.851,-23.711,
365,Larrimah - Village,14359,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,,133.216,-15.576,The Town is located 435km SSE of Darwin.
308,Larrpayanji - Family Outstation,696,Mt Birch,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,134.68,-14.783,
31,Leichardt - Family Outstation,1008,,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,5,130.279,-13.848,"617 Townsite of Peppimenarti
Family Outstation
GPS Position recorded is approximate"
371,Lija Mukumparla - Family Outstation,820,"Leighja, Lija, Mukumparla, Mukunparla and Wombaya",Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,135.081,-17.332, 150Kms east of Elliott
274,Likkaparta - Minor,721,"Likaparrta, Likiparta and Marapurn",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,6,134.538,-19.343,55Kms N/E OF TENNANT CRK on the Barkly Highway
594,Liku - Family Outstation,610,Booneroo and Booneroo Wave Hill,Victoria Daly,Not recorded,Central Land Council,Not recorded,Gwoja,,130.504,-17.911,"Road access from Kalkarindji is via the sealed Buchanan Highway and the Lajamanu Rd, which is a good gravelled road and open most of the year., Liku, also known as Mountain Springs, is located approx 100km south east by road of Kalkarindji."
643,Lilla - Family Outstation,88,Lila and Reedy Rockhole,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,10,131.603,-24.297,"10KMS NORTH OF ROAD           '92 ATSIC, 330KMS VIA KINGS CANYON RD

NT Por 2425"
188,Liltjera - Family Outstation,93,"Liltjira, Liltsere, Ljiljera, Lyiltjara and Lyiltjera",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.638,-23.936,"25KMS WEST OF H'BURG., 150KMS VIA H'BURG"
298,Lily Hole - Family Outstation,24996,Lily Hole Bore and Lily Rock Hole,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,5,133.75,-17.247,
242,Lingara - Family Outstation,613,"Lingarra, Old Humbert River and Walangeri",Victoria Daly,Not recorded,Northern Land Council,Not recorded,Gwoja,48,130.643,-16.487,"Lingara is located approx 30km south of Yarralin on the Humbert River Station road., Road access is via the Humbert River Station road. This is a gravelled/dirt road that is impassable during the wet season."
474,Little Well - Family Outstation,91,Aluralkwa Assoc and Aluralkwe,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,5,135.333,-24.135,160K VIA NUMERY STATION
566,Lizard Bore - Family Outstation,856,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,131.135,-23.3,"8KMS WEST OF WARREN CREEK O/S, 325KMS WEST OF ALICE SPRINGS"
163,Ltira - Family Outstation,92,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,12,132.902,-24.057,"20KMS EAST OF H'BURG., 155KMS VIA H'BURG"
430,Lul-Tju - Family Outstation,614,Lul'tju and Luttju,Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,5,130.593,-18.377,7.5km SE LAJAMANU
46,Luntharra - Family Outstation,871,Luntalra,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.045,-23.735,"10K EAST OF KULPITARA., 10K EAST OF KULPITARRA O/S"
444,Lyilyalanama - Family Outstation,94,Iyngiynyala,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.745,-23.947,"10KMS WEST OF H'BURG, 145KMS VIA H'BURG"
364,Mala - Family Outstation,28,,Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,,130.853,-21.695,OUTSTATION OF YUENDUMU
698,Malgawa - Family Outstation,376,"Marlgawo, Molgawo and Morlgawo",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,8,133.918,-12.839,"Road access from Oenpelli is along the Maningrida road for 155km.  until the Manmoyi turnoff then along a 2 wheeled track for approx 75km, passing through Manmoyi. Access during the wet seasdon is not possible. During the dry season it is approx 5-6 hours drive from Oenpelli., 87 kms from the main Oenpelli / Maningrida road"
169,Malkala - Family Outstation,522,Malkula Creek,East Arnhem,Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,71,136.442,-13.891,8 Km SOUTH OF ANGURUGU
547,Mallarrami - Family Outstation,851,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,136.536,-11.775,Approximately 100km east of Galiwinku on Wigram Island.
576,Malnjangarnak - Family Outstation,523,Malanganak and Malnyanganak,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,25,134.773,-12.661,60 km S OF RAMINGINING
423,Mamadawerre - Family Outstation,355,Mamadawerri and South Gumadeer,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,33,133.658,-12.256,80km E.OENPELLI (2hrs)
225,Mamadi - Family Outstation,694,Inverway,Victoria Daly,Not recorded,Central Land Council,Not recorded,Gwoja,,129.635,-17.85,"Road access from Kalkarindji is via the Buchanan Highway. This is a good gravelled road and open most of the year., Inverway community is located approximately 153km west of Kalkarindji adjacent to Inverway Station Homestead."
16,Manaburdurma - Town Camp,687,"Jabiru Town Camp, Manabadurma, Manaburduma and Manaburduma-Jabiru Town Camp",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,50,132.843,-12.666,"Manabadurma community also known as Jabiru Town Camp.  Jabiru Town Camp is located on the east side of Jabiru.  It is managed by Jabiru Council., Road access from Jabiru is via a gravelled road for 1km."
332,Manangoora - Family Outstation,816,Wonmurri and Wonmurrie,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,5,136.861,-16.052,
340,Mandedjkadjang - Family Outstation,897,Mandajgardajan and Mandajgardajang,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,10,134.031,-12.265,"Mandajgardajang outstation is located approx 130km east of Oenpelli in Arnhemland. It is managed by Bawinanga at Maningrida., Road access from Oenpelli is via the Maningrida road for approx 130km until the Gumarrirnbang turnoff."
411,Mandilbarreng - Family Outstation,359,Mandalbareng and Mandilbareng,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,133.585,-12.274,"Road access from Oenpelli is along the Maningrida road until the Mumadawerre turnoff then along a 2 wheel track for approx 25km, passing through Mumadawerre., 100km east of Oenpelli."
80,Mangardubu - Family Outstation,361,"Coopers Creek, Mangadubu and Mangardabu",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,133.186,-12.094,
455,Maningrida - Major,362,,West Arnhem,Burrarra,Northern Land Council,"Ndjebbana, Kunwinjku, Maung, Djambarrpuyngu, Kriol",Arafura,2712,134.224,-12.051,Maningrida is located on the Central Arnhem coast at the mouth of the Liverpool River east of Darwin and is part of the Arnhem Land Aboriginal Trust.
445,Mankorlod - Family Outstation,360,"Mangalod, Ngankdrlord and Ngankorloud",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,26,134.271,-12.565,80 km SOUTH OF MANINGRIDA
396,Manmoyi - Minor,363,Manmoi,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,40,134.11,-12.541,186km E.OENPELLI.(4hrs)
772,Mantapayika - Family Outstation,97,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,130.226,-25.475,560KMS FROM A/S VIA YULARA
125,Manyallaluk - Minor,595,Eva Valley,Roper Gulf,Eastside Kriol,Northern Land Council,Not recorded,Arnhem,108,132.828,-14.266,"Manyallaluk is located north east of Katherine on the Manyallaluk Aboriginal Land Trust, just east of the Nitmiluk National Park boundary."
599,Maperte - Family Outstation,902,"Jervois, Lucy Creek and Maperta",Central Desert,Not recorded,Central Land Council,Not recorded,Namatjira,,136.381,-22.542,"347 Town of Hart Range - Papunya
Maperte Aboriginal Corp; NT Por 4450. 
45KM N OF BONYA STORE"
346,Mapuru - Minor,524,"Maparu, Mapura, Mapurru and Marparu",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,64,135.438,-12.253,"Approximately 30 km south west of Galiwinku on the mainland. Access from Galiwinku is by plane. Road access from Gapuwiyak is via 40 km of gravelled road and 70 km of rough two wheeled track., Nhulunbuy is approx. 290 km by road."
529,Mara - Town Camp,222,"Borroloola - Mara, Borroloola Town Camp, Dulu and Mala Camp",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,121,136.305,-16.051,
85,Maria Lagoon - Family Outstation,618,Numultja and St Vidgeons' Station,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,135.445,-15.3,
704,Mariah - Family Outstation,828,Raffles Bay,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,132.38,-11.23,This oustation is located 112 km N of Murganella via the Danger Point road.
227,Mariniri - Family Outstation,994,Marinri,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,,136.901,-16.67,669 Townsite of Robinson River
127,Marla Marla - Town Camp,223,"Dump Camp, Kaitej, Karliwampa, Lumin Christie and Lumin Christie Village",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,25,134.179,-19.655,TOWN OF TENNANT CREEK.
69,Marlinja - Minor,252,Newcastle Waters,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,36,133.403,-17.371,"The community is an excision of the Newcastle Waters Cattle Station. It is located approximately 25 km north of Elliott. Newcastle Waters is an historic 10,353 square kilometre cattle station in the Barkly Tablelands. This huge station is located 777 kilometres north of Alice Springs, 290kms North of Tennant Creek and 705 kilometres south from Darwin and was once the drover's crossing point where stock routes from the east and south met."
292,Marlwon - Family Outstation,325,"Kikikyowh, Lady Dreaming and Malworn",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,133.863,-12.135,120 km EAST OF OENPELLI
109,Marralum - Family Outstation,619,Legune Station and Marralam,Victoria Daly,Not recorded,Northern Land Council,Not recorded,Gwoja,5,129.25,-15.391,"Road access from Timber Creek is via the Victoria Hwy for 245km to Kununurra in WA then for 90km along the Legune Rd. Access is good most of the year., Marralum is located approx 90km by road of Kununurra and 335km west of Timber Creek."
395,Marramarrani - Family Outstation,894,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,132.553,-11.303,Marramarrani is located approx 20km south of Minjilang.
532,Marraya - Family Outstation,527,Marraiya,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,135.801,-13.839,
58,Marrkalawa - Family Outstation,899,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,13,135.713,-13.574,North of Walker River Crossing
107,Marrkolidjban - Family Outstation,368,"Marrgolidjban, Marrkilidban and Marrkolidban",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,21,134.064,-12.238,"Markkolidban Community is located approx 85km by road south west of Maningrida just off the Maningrida-Oenpelli road.  Road access is currently only possible during the dry season, however the upgrading of the main road being undertaken should improve access. Driving time from Maningrida is approx 1.5 hours., 85 km SW of  MANINGRIDA"
676,Martjanba - Family Outstation,528,"Jensen Bay, Marchinbar Island and Rimbija Island",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,136.707,-11.17,Approximately 100 km north east of Galiwinku on Marchinbar Island.
731,Matamata - Family Outstation,529,Mata Mata,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,15,136.271,-12.077,"Approximately 80 km south east of Galiwinku on the northern coast of the mainland. Access fro Galiwinku is by plane or boat., Nhulunbuy is approx. 140 km by road of which 80km is a rough 2 wheeled track and only possible in the dry season."
429,Mataranka - Village,23547,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,133.068,-14.924,
358,Mataranka Town Camp - Town Camp,620,Mataranka Transient Camp,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,133.067,-14.926,110 km FROM KATHERINE
275,Mawulyumanja - Family Outstation,530,"Manulyumanja, Mawalyumanttja, Thompson Bay and Thompson's Bay",East Arnhem,Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,6,136.723,-13.843,
302,Mbalkanaka - Family Outstation,101,Salt Hole,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.875,-23.953,disused O/S
492,Mbunghara - Family Outstation,102,"Bunghara, Dashwood, Umpangara and Umpangari",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,35,132.359,-23.291,"2KMS SOUTH OF PAPUNYA ROAD           '92, 200KMS WEST OF A/S"
218,Mcdonalds Yard - Family Outstation,847,Bururu and Pururu,Victoria Daly,Not recorded,Central Land Council,Not recorded,Gwoja,,130.592,-17.782,"McDonalds Yard, also known as Pururu, is located approx 115km by road south east of Kalkrindji.  Road access from Kalkarindji is via the sealed Buchanan Highway and along the Lajamanu road, which is a good gravel road trafficable throughout the year.  Access track to McDonalds Yard is likely to close during the wet., McDonalds Yard,is located approx 115km by road south east of Kalkarindji."
152,Menngen - Family Outstation,951,"Djalibang, Innesvale Station, Innisvale Station and Jalijbang",Victoria Daly,Not recorded,Northern Land Council,Not recorded,Daly,25,131.273,-15.357,"Djalibang, also known as Innisvale, is located approx 177km by road west of Katherine. It is managed  by Wardaman Aboriginal Corp., Road access is via the Victoria Hwy for 123km from Katherine, then along the Innisvale road fro 54km. This is a good gravelled road that should be trafficable during the wet season."
277,Merral Ntarrakala - Family Outstation,872,Merralntarrakala,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.829,-23.914,"2K EAST OF RUTJINKGA., 135K WEST OF ALICE SPRINGS"
449,Merrepen - Family Outstation,717,Matapan,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,66,129.967,-14.221,"Approx. 80 km east of Port Keats.
G.P.S coordinates are 14 deg 13' 16"" S & 129 deg 58' 01"" E, 15 km S.W. PEPPIMENARTI"
634,Mewirnbi - Family Outstation,372,Mewirnabi,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,134.768,-12.125,120km east of Maningrida.
336,Miali Brumby - Town Camp,621,"Kalamo, Kalamo-Mali Brumby, Kalano, Kalano Farm and Mialli",Katherine,Not recorded,Northern Land Council,Not recorded,Katherine,148,132.259,-14.456,"LOT 504 TOWN OF KATHERINE.  ACCESSED OFF THE STUART HWY VIA GUN CLUB ROAD, IN KATHERINE TOWNSHIP"
625,Mikginj Valley - Family Outstation,373,"Mikgin, Mikginj, Mikinj and Mikinj Valley",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,6,133.075,-12.48,"Road access from Oenpelli is via the Maningrida road for approx 40km until the Narbalek turn off, then via a good gravelled road for approx 10km, before turning into the Mikginj Valley track., Mikginj Valley is located approx 65km south east of Oenpelli in Arnhemland"
694,Milibunthurra - Family Outstation,987,Millibunthurra,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,5,136.423,-15.962,"East of Borroloola, adjacent to McArthur River near Duck Island"
670,Milikapiti - Major,374,Snake Bay,Tiwi Islands,Tiwi (Modern and Traditional),Tiwi Land Council,Not recorded,Arafura,471,130.674,-11.422,Milikapiti is located on Melville Island north of Darwin nestled on hilly country on the edge of the large estuary of the Tjipripu River and part of the Tiwi Aboriginal Land Trust.
653,Milingimbi - Major,531,,East Arnhem,Yolngu Matha (Djambarrpuyngu),Northern Land Council,Gapupuyngu,Mulka,1439,134.92,-12.104,Milingimbi Island forms part of the Crocodile Island Group off the north coast of Central Arnhem Land in the Arafura Sea west of Nhulunbuy. Milingimbi is part of the Arnhem Land Aboriginal Land Trust.
420,Milmilngkan - Family Outstation,830,Burlngandi,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,27,134.247,-12.523,78 km S OF MANINGRIDA.
590,Milyakburra - Major,532,Bickerton Island,East Arnhem,Anindilyakwa,Anindilyakwa Land Council,Not recorded,Arnhem,161,136.196,-13.784,Milyakburra is located on Bickerton Island west of Groote Eylandt within the Anindilyakwa Land Trust.
52,Mimina - Family Outstation,724,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,5,136.834,-16.802,165km FROM BORROLOOLA
156,Minjilang - Major,375,Croker Island,West Arnhem,Iwaidja,Northern Land Council,Not recorded,Arafura,290,132.579,-11.151,Minjilang is located on Crooker Island north east of Darwin in the Arafura Sea as part of the Arnhem Land Aboriginal Land Trust.
211,Minmarama Park - Town Camp,825,,Darwin,Not recorded,Northern Land Council,Not recorded,Fannie Bay,102,130.849,-12.411,
592,Minyerri - Major,624,"Hodgson Downs, Miniyeri, Miniyerre, Miniyerri, Minyere, Minyeri and Minyerre",Roper Gulf,Eastside Kriol,Northern Land Council,Not recorded,Arnhem,726,134.082,-15.222,Minyerri is located south east of Katherine on the Alawa 1 Aboriginal Land Trust just west of the Hodgson River.
773,Mirridi - Family Outstation,745,Mirrirdi,Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,,130.779,-19.019,106km Lajamanu
771,Mirrnatja - Family Outstation,535,Mirrngatja,East Arnhem,Not recorded,Northern Land Council,Not recorded,Arnhem,5,135.193,-12.658,"WSW of Gapuwiyak 113 km, Four and one half hours by road to Gapuwiyak"
727,Mistake Creek - Family Outstation,626,Moondabijerra,Victoria Daly,Not recorded,Central Land Council,Not recorded,Gwoja,5,129.043,-17.109,"Road access from Kalkarindji is via the Buchanan Hwy and Duncan Road. These are gravelled roads, and Wet season access would be difficult., Mistake Creek is located approx 370km by road north west of Kalkarindji."
353,Miwul - Family Outstation,536,Miwal,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,135.913,-14.032,
148,Mobarn - Family Outstation,827,Blue Water and Morbon,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,134.355,-13.579,"Also known as Blue Water, located 20 km North of Bulman"
374,Mole Hill - Family Outstation,627,Goondburoon,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,5,133.833,-14.875,90Km FROM S.H. ON ROPER HWY
539,Momob - Family Outstation,628,Bulman Gorge and Mormob,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,134.269,-13.357,50 km north of Bulman
557,Moolooloo - Family Outstation,15203,,Victoria Daly,Not recorded,Northern Land Council,Not recorded,Gwoja,,131.515,-16.336,
38,Mooloowa - Family Outstation,990,Cape Vanderlin and Muluwa,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,5,137.001,-15.624,"About 500m S of Cape Vanderlin, north end of Vanderlin Island, Sir Edward Peelew Island Group.
Is within NT POR 1737"
0,Mooronga - Family Outstation,501,"Garandjirrngura, Garmalatjirrina, Mooroongga Island, Moorunga Island and Murunga",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,31,135.075,-11.921,"240 kms from Nhulunbuy, 27 km NE OF MILINGIMBI"
671,Morris Gap - Family Outstation,105,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,131.439,-24.113,?
414,Motnas - Family Outstation,106,"Motna's, Motna's Camp and Motna's Outstation",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.769,-23.95,"**5K EAST OF H'BURG** '92 ATSIC NEEDS TO SURVEY, 140KMS VIA H'BURG"
356,Mount Barkly - Family Outstation,109,"Bau, Pamu, Pawa and Pawu Land Trust",Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,,132.441,-21.614,"50KMS SOUTH OF WILLOWRA           '92 AT, 350KMS VIA TI TREE"
78,Mount Catt - Family Outstation,629,Bamirrakurlu,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,12,134.432,-13.8,35 km south west of BULMAN
91,Mount Jean - Family Outstation,957,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,134.172,-13.533,Located 20km north of Bulman
318,Mount Liebig - Major,112,"Amunturangu, Amunturrunga, Anturgunu, Mt Liebig and Watiyawanu",Macdonnell,Luritja/Pintupi,Central Land Council,Not recorded,Gwoja,199,131.273,-23.266,Mount Liebig is located west of Alice Springs on the Haasts Bluff Aboriginal Land Trust at the western end of the Western McDonnell Ranges.
533,Mount Nancy - Town Camp,113,Nyewente,Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,66,133.87,-23.668,
90,Mount Peachy - Family Outstation,790,"No. 1 Bore, Number 1 Bore, Syd Kenny Camp and Syd Kenny's Camp",Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,5,133.872,-24.394,"1:250,000 TOPOGRAPHICAL MAP REF SG 53-2 RODINGA.

ACCESS VIA ROAD FOLLOWING OLD GHAN RAILWAY LINE SOUTH FROM OLD ASP AIRPORT TERMINAL TO DEEP WELL STN TURNOFF THENCE WEST ALONG DEEP WELL/ORANGE CREEK ROAD.

, APPROXIMATELY 100 KMS SOUTH OF ASP."
181,Mount Twellar - Family Outstation,875,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,17,133.623,-23.542,
17,Mpwetyerre - Town Camp,108,"Abbots Camp, Abbotts Camp, Bp Camp, Mbutjara and Mission Block",Alice Springs,Not recorded,Central Land Council,Not recorded,Araluen,36,133.874,-23.717,
686,Mt Eaglebeak - Family Outstation,855,,Central Desert,Not recorded,Central Land Council,Not recorded,Namatjira,29,135.199,-22.956,
263,Mt Maiyo - Family Outstation,702,Mulluya,Victoria Daly,Not recorded,Central Land Council,Not recorded,Gwoja,,129.398,-17.695,"Road access from Kalkarindji is via the Buchanan Hwy and along the Kirkimbie Station road. These are gravelled roads and Wet season access maybe interrupted., Mt Maiyo also known as Mulluyu is located approx 200km by road northwest of Kalkarindji."
506,Mu-Gurta - Family Outstation,964,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,6,134.508,-12.259,40KMS EAST OF MANINGRIDA ON THE RAMINGINING ROAD
222,Muckaty - Family Outstation,1001,Marnywungu,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,5,133.896,-18.639,Located between Stuart Hwy and Muckaty Homestead - 2km from H/stead.
259,Mudginberri - Family Outstation,380,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,50,132.873,-12.598,17 km FROM JABIRU
482,Mudhamul - Family Outstation,808,Marthakal and Muthamal,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,136.172,-12.161,Approximately 80 km south east of Galiwinku on the northern coast of the mainland. Access from Galiwinku is by boat.
119,Mulga Bore - Family Outstation,118,"Akaya, Akaye, Atartinga and Athatheng",Central Desert,Not recorded,Central Land Council,Not recorded,Barkly,31,134.209,-22.451,"GPS N53K0418529 E UTM7516826, 185KMS VIA SANDOVER H'WAY
10KMS EAST OF H'WAY"
349,Mulggan - Town Camp,971,"Mataranka Town Camp, Mataranka Town Camp2, Mulgan and Mulgarn",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,150,133.074,-14.92,"Town of Mataranka, 1 kilometre east of Mataranka"
4,Mulgurram - Family Outstation,538,Mangu and Mulgurrum,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,134.961,-12.402,
631,Mulingi - Family Outstation,884,Mt Greenwood and Mulingne,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,5,129.951,-13.927,15km NW WOODYKUPILDIYA
307,Mumeka - Family Outstation,382,Momeka and Mormega,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,15,134.136,-12.363,63 km S/W OF MANINGRIDA
757,Mumpumampu - Family Outstation,630,"Mambumambu, Mialurra, Mumba Mumba, Mumbo Mumbo and Mumbu Mumbu",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,135.328,-14.384,90 km NE NGUKURR
306,Mumukala - Family Outstation,801,Mamukala and Mumakala,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,12,132.666,-12.611,"Mamukala community is approx 22km west of Jabiru, 1km north of The Arnhem Highway., 23km FROM JABIRU"
105,Mungalawurru - Family Outstation,248,"Mangalawarra, Mangalawu and Mangarlwurra",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,15,133.596,-19.383,Turn left at Warrego Mine on the road to Lajamanu then right into community.  Approx 90 km from Tennant Creek
140,Mungkarta - Minor,244,Mclaren Creek and Mungarta,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,55,134.198,-20.337,"5km off the stuart highway, turn off at sign (McLaren Creek) over railway line. 1 h/r drive from the Regional centre., 80km SOUTH OF TENNANT CRK"
656,Mungurrupa - Family Outstation,647,"Mangkurrupa, Mangkurrurpa, Mongrel Downs, Mungkurrupa and Tanami Downs",Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,,129.733,-20.585,
383,Munji-Marla - Town Camp,215,Blueberry Hill and Munji Mala,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,5,134.183,-19.648,TOWN OF TENNANT CREEK
598,Munyalini - Family Outstation,249,"Campbell Springs, Minyalini and Minyallini",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,43,136.189,-16.093,25km FROM BORROLOOLA
126,Murgenella Plains - Family Outstation,977,Arrdukbukbun,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,132.912,-11.71,LOCATION BY GPS.  This outstation is located approx 25 km from Murganella.
33,Murranji - Family Outstation,858,,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,132.811,-16.836,188km n/w of Elliott
567,Murtulki - Family Outstation,688,Murtalki,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,134.389,-19.918,45Kms S/E OF TENNANT CRK
563,Murun Murula - Family Outstation,689,"Muran Murula, Murra Murula, Murramarula, Muru Murula and Murulmurula",Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,137.518,-18.499,480Km N/E OF TENNANT CRK
72,Muruning - Family Outstation,648,"Darby's, Muringung, Murruning and Timber Creek",Victoria Daly,Not recorded,Northern Land Council,Not recorded,Daly,21,130.485,-15.675,"Muruning, also know as Darby's Camp is located approx 2km by road east of Timber Creek., Road access is via the Victoria Hwy for 2km east of Timber Creek."
440,Mutitjulu - Major,120,Ayers Rock and Mutitjula,Macdonnell,Pitjantjatjara,Central Land Council,Luritja/Pintupi,Gwoja,380,131.067,-25.352,"Mutitjulu is located at the base of Uluru (also known as Ayers Rock) within the Uluru-Katatjuta National Park, south west of Alice Springs."
233,Muyin - Family Outstation,764,Moyen and Muyinnga,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,129.005,-23.16,50KM WNW OF KINTORE
